Rank,Name,Link,Location_City,Location_State,Private_Public,Profit_Type,Campus_Setting,Starting_Salary,Percent_from_State,Percent_FTE,Percent_Male,Accept_rate,Old_SAT_Score,New_SAT_Score,ACT_Score,Num_Undergrad,Num_Faculty,Student_Faculty_Ratio,Num_Degree,Num_Major,Num_Field,Num_Annual_Grad,Percent_POC,Tuition_Fee,Room_Fee,Total_Cost,Financial_Aid
1,Duke University,duke-university,Durham, North Carolina,Private,Non-Profit,Large City,48000.0,16,90,50,9.9,,,33.0,6696,1547,7,61,48,20,2446,56.39187574671445,53500,14798,71764,47836
2,Massachusetts Institute of Technology,massachusetts-institute-of-technology,Cambridge, Massachusetts,Private,Non-Profit,Midsize City,67000.0,10,81,54,7.2,,,34.0,4547,1661,3,39,37,16,1298,66.59335825819221,49892,14720,67430,43248
3,University of Pennsylvania,university-of-pennsylvania,Philadelphia, Pennsylvania,Private,Non-Profit,Large City,54000.0,24,97,47,9.3,,,34.0,11716,1459,6,92,66,21,3531,56.81119836121543,53534,15066,71715,44801
4,Yale University,yale-university,New Haven, Connecticut,Private,Non-Profit,Midsize City,48000.0,7,73,51,6.9,,,34.0,5746,1913,6,79,53,17,1566,55.27323355377654,51400,15500,71290,50897
5,Harvard University,harvard-university,Cambridge, Massachusetts,Private,Non-Profit,Midsize City,48000.0,17,86,51,5.2,,,34.0,9965,2048,7,88,53,18,2642,57.139989964877074,48949,16660,69600,49870
6,Harvey Mudd College,harvey-mudd-college,Claremont, California,Private,Non-Profit,Large Suburb,60000.0,40,92,52,15.4,,,34.0,861,112,8,12,12,8,200,66.7828106852497,54636,17592,74428,33782
7,Stanford University,stanford-university,Stanford, California,Private,Non-Profit,Large Suburb,54000.0,40,91,50,4.7,,,34.0,7064,1758,12,58,46,17,1737,64.35447338618346,49617,15112,69109,50134
8,University of Chicago,university-of-chicago,Chicago, Illinois,Private,Non-Profit,Large City,44000.0,18,82,51,8.7,,,34.0,6310,1643,5,48,42,18,1754,57.97147385103011,54825,15726,74526,37883
9,Dartmouth College,dartmouth-college,Hanover, New Hampshire,Private,Non-Profit,Small Town,48000.0,3,81,51,10.4,,,32.0,4410,734,7,65,45,16,1245,50.362811791383216,52950,15159,71409,47171
10,Northwestern University,northwestern-university,Evanston, Illinois,Private,Non-Profit,Small City,47000.0,34,82,49,9.2,,,33.0,8700,1838,6,112,81,23,2895,53.18390804597701,52678,16047,72980,44247
11,Brown University,brown-university,Providence, Rhode Island,Private,Non-Profit,Midsize City,48000.0,4,87,46,8.5,,,33.0,6988,964,7,90,57,20,1864,57.46994848311391,53419,14020,71050,42455
12,Cornell University,cornell-university,Ithaca, New York,Private,Non-Profit,Small City,53000.0,35,90,48,12.7,,,32.0,14907,1991,9,94,75,24,3922,61.76293016703562,52853,14330,70321,36164
13,University of Notre Dame,university-of-notre-dame,Notre Dame, Indiana,Private,Non-Profit,Large Suburb,50000.0,6,88,53,18.9,,,33.0,8576,1348,10,72,57,21,2747,31.471548507462693,51495,14890,69385,39590
14,Williams College,williams-college,Williamstown, Massachusetts,Private,Non-Profit,Small Town,47000.0,13,81,52,14.6,,,33.0,2080,387,6,37,31,14,753,48.55769230769232,53550,14150,70650,48050
15,Rice University,rice-university,Houston, Texas,Private,Non-Profit,Large City,47000.0,49,81,53,15.9,,,34.0,4001,838,6,60,45,20,1195,65.65858535366158,45608,13850,63158,36387
16,Johns Hopkins University,johns-hopkins-university,Baltimore, Maryland,Private,Non-Profit,Large City,49000.0,12,96,48,12.5,,,34.0,6109,1455,7,71,60,21,1818,64.52774594860043,52170,15410,69863,38542
17,Pomona College,pomona-college,Claremont, California,Private,Non-Profit,Large Suburb,45000.0,32,82,51,8.4,,,32.0,1599,265,7,51,39,17,434,64.47779862414009,51075,16150,69725,48930
18,Vanderbilt University,vanderbilt-university,Nashville, Tennessee,Private,Non-Profit,Large City,45000.0,9,83,49,10.8,,,34.0,6885,1356,7,70,49,18,2185,51.648511256354396,47664,15584,67392,41359
19,Washington University in St Louis,washington-university-in-st-louis,Saint Louis, Missouri,Private,Non-Profit,Large Suburb,50000.0,10,66,46,16.0,,,33.0,7675,1443,8,107,75,21,2298,47.752442996742666,51533,16006,71975,41977
20,Princeton University,princeton-university,Princeton, New Jersey,Private,Non-Profit,Large Suburb,53000.0,18,85,51,6.4,,,33.0,5394,1138,5,39,36,15,1280,58.10159436410826,47140,15610,66150,48088
21,Hamilton College,hamilton-college,Clinton, New York,Private,Non-Profit,Midsize Suburb,41000.0,30,87,47,24.2,,,32.0,1901,229,9,42,34,15,616,36.77012098895318,52770,13400,67670,43611
22,Claremont McKenna College,claremont-mckenna-college,Claremont, California,Private,Non-Profit,Large Suburb,44000.0,45,90,52,10.4,,,32.0,1338,180,8,47,37,20,458,58.893871449925264,52825,16220,71745,40673
23,Washington and Lee University,washington-and-lee-university,Lexington, Virginia,Private,Non-Profit,Small Town,45000.0,18,78,52,22.0,,,32.0,1827,316,8,37,33,17,609,17.515051997810613,50170,11910,65950,39671
