image_id,type,xmin,xmax,ymin,ymax
lesion_0,lesion,13,17,12,17
lesion_1,lesion,13,18,12,18
lesion_1,lesion,20,24,25,28
lesion_2,lesion,13,18,12,17
lesion_2,lesion,20,24,24,28
lesion_3,lesion,14,16,14,16
lesion_3,lesion,19,24,24,29
lesion_4,lesion,20,24,24,28
lesion_5,lesion,6,10,1,6
lesion_6,lesion,6,11,1,7
lesion_6,lesion,13,17,14,17
lesion_7,lesion,6,11,1,6
lesion_7,lesion,13,17,13,17
lesion_8,lesion,7,9,3,5
lesion_8,lesion,12,17,13,18
lesion_9,lesion,13,17,13,17
lesion_10,lesion,13,16,13,16
lesion_11,lesion,12,17,13,17
lesion_12,lesion,12,17,13,17
lesion_13,lesion,13,17,13,17
lesion_14,lesion,16,20,2,6
lesion_15,lesion,12,20,13,19
lesion_16,lesion,12,21,12,20
lesion_17,lesion,13,21,12,20
lesion_18,lesion,14,20,12,19
lesion_19,lesion,9,17,11,17
lesion_20,lesion,9,18,10,18
lesion_21,lesion,10,18,10,18
lesion_22,lesion,11,17,10,17
lesion_23,lesion,13,17,13,18
lesion_24,lesion,13,17,13,18
lesion_25,lesion,13,17,13,17
lesion_26,lesion,14,18,13,17
lesion_27,lesion,13,17,13,18
lesion_28,lesion,12,18,13,18
lesion_29,lesion,12,18,12,18
lesion_30,lesion,13,17,12,17
lesion_31,lesion,12,17,13,17
lesion_32,lesion,12,18,12,18
lesion_33,lesion,13,18,12,17
lesion_34,lesion,13,16,13,16
lesion_35,lesion,12,17,12,17
lesion_36,lesion,12,17,12,18
lesion_37,lesion,13,17,12,17
lesion_38,lesion,1,5,2,5
lesion_39,lesion,13,17,13,17
lesion_40,lesion,13,18,13,18
lesion_41,lesion,13,17,13,17
lesion_42,lesion,14,17,13,16
lesion_43,lesion,13,18,12,18
lesion_44,lesion,13,18,12,18
lesion_45,lesion,13,18,13,18
lesion_46,lesion,13,17,13,16
lesion_46,lesion,15,20,15,20
lesion_47,lesion,13,20,12,20
lesion_48,lesion,13,17,13,17
lesion_48,lesion,15,20,15,20
lesion_49,lesion,10,14,10,13
lesion_49,lesion,12,17,12,17
lesion_50,lesion,10,17,9,17
lesion_51,lesion,10,14,10,14
lesion_51,lesion,12,17,12,17
lesion_52,lesion,24,29,23,29
lesion_53,lesion,25,29,23,28
lesion_54,lesion,13,17,13,16
lesion_55,lesion,13,17,13,17
lesion_56,lesion,13,17,13,17
lesion_57,lesion,13,16,14,17
lesion_58,lesion,13,17,13,17
lesion_58,lesion,-1,1,15,19
lesion_59,lesion,13,17,13,18
lesion_60,lesion,13,17,13,18
lesion_61,lesion,13,16,13,17
lesion_62,lesion,18,22,12,17
lesion_63,lesion,17,22,12,17
lesion_64,lesion,17,22,11,17
